,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
15489,1966722555625.8877,3182269155185.3994,1215546599559.5117,39.986934661865234,-77.04647827148438,72924257.19304705,84909981.57038897,11985724.377341926
15490,2869946218889.296,5356837899308.42,2486891680419.124,39.986934661865234,-77.02491760253906,108213879.36210585,132386626.0105351,24172746.64842926
15491,2215474523909.7256,3778680638108.5684,1563206114198.8428,39.986934661865234,-77.00336456298828,82801002.58741741,99919735.51503405,17118732.92761664
15492,2057930185577.838,2337990383959.4443,280060198381.60645,39.986934661865234,-76.91712188720703,74343287.88698034,76047661.45200819,1704373.565027848
15493,2376780225126.565,2471260910869.299,94480685742.73389,39.986934661865234,-76.89556121826172,92860215.09604672,97665940.54438089,4805725.448334172
15494,2495524667890.1577,2624420692471.2104,128896024581.05273,39.986934661865234,-76.8740005493164,98952333.64189918,105134538.15443636,6182204.512537181
15495,10413503648500.848,12704930613469.852,2291426964969.004,39.986934661865234,-76.85244750976562,398566819.971226,515364933.56071156,116798113.58948559
15496,15784674314828.11,20376511727619.5,4591837412791.391,39.986934661865234,-76.83088684082031,579861933.3732773,810582136.773562,230720203.40028465
15497,20490417483519.848,22495710510437.332,2005293026917.4844,39.986934661865234,-76.809326171875,712212514.7531815,819563510.5970256,107350995.84384418
15498,18644794655688.973,22063137652195.664,3418342996506.6914,39.986934661865234,-76.78776550292969,526144873.5726529,625634664.672519,99489791.09986609
15499,16470093323321.115,18401678930271.33,1931585606950.213,39.986934661865234,-76.76620483398438,519338382.75990474,692293885.3827043,172955502.62279952
15500,21022228147322.9,17634100169746.316,-3388127977576.582,39.986934661865234,-76.74464416503906,774831619.1551123,781643770.0695628,6812150.914450526
15501,15732217080533.88,16607493311403.604,875276230869.7227,39.986934661865234,-76.72308349609375,558091607.1993878,595827224.0087566,37735616.80936885
15502,15293876878306.105,14757853459217.87,-536023419088.2363,39.986934661865234,-76.70153045654297,487904000.7834621,494319221.99355596,6415221.210093856
15503,12672098680577.822,11573161004772.107,-1098937675805.7148,39.986934661865234,-76.67996978759766,356737335.20178205,363624673.68268883,6887338.480906785
