,inc0,inc1,incdiff,lats,lngs,pop0,pop1,popdiff
4667,3418156004834.7847,4178767139352.5576,760611134517.773,42.140464782714844,-85.55819702148438,110668862.91173734,177660635.48061866,66991772.56888132
4668,3330809513984.2256,3786723711537.2153,455914197552.98975,42.140464782714844,-85.53663635253906,110979469.5038852,168124304.01313472,57144834.50924952
4669,4402237348689.869,3519602398535.577,-882634950154.292,42.140464782714844,-85.51507568359375,126210299.38083437,129606855.85246564,3396556.4716312736
4670,4821134331516.714,3915012878379.742,-906121453136.9717,42.140464782714844,-85.49352264404297,126361178.15330884,126438534.24915388,77356.09584504366
4671,2905226163332.885,2454889293023.865,-450336870309.01953,42.140464782714844,-85.47196197509766,74819290.46644023,72614993.37449624,-2204297.091943994
4672,2607656384385.635,2165835410872.7715,-441820973512.8633,42.140464782714844,-84.8251724243164,96416080.9886667,97230168.86776702,814087.8791003227
4673,2314639042381.4785,1921751837610.883,-392887204770.59546,42.140464782714844,-84.8036117553711,92133623.07273085,92752101.26613961,618478.1934087574
4674,1765516572397.671,1477537201396.4778,-287979371001.1931,42.35606002807617,-85.68755340576172,55245639.17918254,57296622.62422327,2050983.4450407326
4675,1765516572397.671,1477537201396.4778,-287979371001.1931,42.35606002807617,-85.6659927368164,55245639.17918254,57296622.62422327,2050983.4450407326
4676,2268695132879.4624,2294079611458.7373,25384478579.274902,42.35606002807617,-85.64443969726562,71356706.17575929,80186541.53319812,8829835.357438833
4677,2519090430095.4854,2700413258228.7036,181322828133.21826,42.35606002807617,-85.62287902832031,79374010.02354729,91577185.92586763,12203175.90232034
4678,2519090430095.4854,2700413258228.7036,181322828133.21826,42.35606002807617,-85.601318359375,79374010.02354729,91577185.92586763,12203175.90232034
4679,2528757302180.0117,2381145630796.0137,-147611671383.99805,42.35606002807617,-85.57975769042969,83540747.0416262,87350769.27693495,3810022.2353087515
4680,4347823975987.4946,4595171137045.697,247347161058.20264,42.35606002807617,-85.55819702148438,158056921.1457009,200716975.83256996,42660054.686869055
4681,4631189368469.2705,8597383096782.412,3966193728313.1416,42.35606002807617,-85.53663635253906,143721988.49553135,319279705.5691168,175557717.07358542
4682,2373392667613.937,3825542370582.391,1452149702968.454,42.35606002807617,-85.51507568359375,77847414.09751204,104943279.41436817,27095865.31685613
4683,2373392667613.937,3825542370582.391,1452149702968.454,42.35606002807617,-85.49352264404297,77847414.09751204,104943279.41436817,27095865.31685613
4684,2235979432259.889,3128700284153.56,892720851893.6709,42.35606002807617,-85.47196197509766,73307261.28700654,88991257.52831593,15683996.24130939
4685,2048310111365.378,2177002430639.914,128692319274.53613,42.35606002807617,-85.45040130615234,67106640.273247875,67205109.29786015,98469.0246122703
4686,2048310111365.378,2177002430639.914,128692319274.53613,42.35606002807617,-85.42884063720703,67106640.273247875,67205109.29786015,98469.0246122703
4687,3317745817788.1895,3050889711743.551,-266856106044.63867,42.35606002807617,-85.40727996826172,82982599.66692919,78481140.00207306,-4501459.664856121
4688,3380625125999.2983,2957736829430.455,-422888296568.84326,42.35606002807617,-85.3857192993164,97550386.86347783,94545102.03772572,-3005284.8257521093
