,fips,values,colors
111,5059,0.0,#ffffff
112,5061,-0.04493459133567868,#a1d99b
113,5063,0.0,#ffffff
114,5065,-0.01899289848262676,#a1d99b
115,5067,-0.01413030640265523,#a1d99b
116,5069,0.0,#ffffff
117,5071,0.003873538929533621,#a1d99b
118,5073,0.14813738113234237,#74c476
119,5075,-0.012344164914599427,#a1d99b
120,5077,0.006017529773970852,#a1d99b
121,5079,-0.010913201344262626,#a1d99b
122,5081,-0.022132767369373047,#a1d99b
123,5083,0.11385914163601055,#74c476
124,5085,0.0,#ffffff
125,5087,0.15473245974779692,#74c476
126,5089,-0.009988198832319667,#a1d99b
127,5091,-0.016006834422823173,#a1d99b
128,5093,-0.015663090123644117,#a1d99b
129,5095,0.009583393851816868,#a1d99b
130,5097,0.03068455266693142,#74c476
131,5099,-0.40346060994165245,#e5f5e0
132,5101,0.0279231569353311,#74c476
133,5103,-0.025208639125488878,#a1d99b
134,5105,0.10669194252693041,#74c476
135,5107,0.0029300902173948875,#a1d99b
136,5109,-0.020049515617069795,#a1d99b
137,5111,0.10151647025145367,#74c476
138,5113,0.0,#ffffff
139,5115,-0.03412392052687211,#a1d99b
140,5117,0.0,#ffffff
141,5119,-0.0022380592461754677,#a1d99b
142,5121,0.0,#ffffff
143,5123,-0.0515641096601703,#a1d99b
144,5125,-0.0033260324840300357,#a1d99b
145,5127,-0.02715028296041433,#a1d99b
146,5129,0.0,#ffffff
147,5131,-0.08269838831554338,#a1d99b
148,5133,0.0,#ffffff
149,5135,-0.022832325813904344,#a1d99b
150,5137,0.11420303660550996,#74c476
151,5139,0.0,#ffffff
152,5141,-0.01692407715493616,#a1d99b
153,5143,0.0,#ffffff
154,5145,-0.02023613893151821,#a1d99b
155,5147,-0.00011195544905256714,#a1d99b
156,5149,-0.03136458670676772,#a1d99b
157,6001,0.0,#ffffff
158,6003,-0.05573231492430949,#a1d99b
159,6005,0.0,#ffffff
160,6007,0.009855140396979743,#a1d99b
161,6009,0.0,#ffffff
162,6011,0.0,#ffffff
163,6013,0.27727374032533325,#41ab5d
164,6015,0.06744573709345082,#74c476
165,6017,0.5398544175621547,#238b45
166,6019,-0.055341710915491185,#a1d99b
167,6021,-0.4664746647799601,#e5f5e0
168,6023,0.007959103164837498,#a1d99b
169,6025,-0.0766173732184412,#a1d99b
170,6027,-0.010171166733076505,#a1d99b
171,6029,-0.011619999966709366,#a1d99b
172,6031,-0.06799701088291972,#a1d99b
173,6033,0.005430571650460564,#a1d99b
174,6035,0.18630989658140903,#74c476
175,6037,-0.025824167404485586,#a1d99b
176,6039,0.16520724974214251,#74c476
177,6041,-0.07195888729039888,#a1d99b
178,6043,0.0038689228734275476,#a1d99b
179,6045,0.03808635010701437,#74c476
180,6047,-0.049152095705052,#a1d99b
181,6049,0.019497906894316238,#74c476
182,6051,-0.00021289415367086557,#a1d99b
183,6053,0.0,#ffffff
184,6055,0.0043018287651416685,#a1d99b
185,6057,-0.0018406455269959182,#a1d99b
186,6059,0.0,#ffffff
187,6061,-0.026836585368489003,#a1d99b
188,6063,-0.04361881043478045,#a1d99b
189,6065,0.0038409518788536426,#a1d99b
190,6067,0.009927898237036959,#74c476
191,6069,0.015951180373061986,#74c476
192,6071,0.0,#ffffff
193,6073,-0.026004000286045582,#a1d99b
194,6075,0.014911929616471286,#74c476
195,6077,0.0,#ffffff
196,6079,0.0,#ffffff
197,6081,-0.007436442968620965,#a1d99b
198,6083,0.0,#ffffff
199,6085,0.023072361604511017,#74c476
200,6087,-0.010214352943842517,#a1d99b
201,6089,0.1403099255023947,#74c476
202,6091,0.0,#ffffff
203,6093,0.036255665181306865,#74c476
204,6095,-0.06421933662674206,#a1d99b
205,6097,0.0,#ffffff
206,6099,0.07097672710088554,#74c476
207,6101,-0.011043487532201175,#a1d99b
208,6103,-0.008433009211924651,#a1d99b
209,6105,0.0011698041059188939,#a1d99b
210,6107,0.017918722597153932,#74c476
211,6109,0.0,#ffffff
212,6111,-0.018937971359641786,#a1d99b
213,6113,0.0,#ffffff
214,6115,-0.025010053079400952,#a1d99b
215,8001,0.0,#ffffff
216,8003,0.0,#ffffff
217,8005,0.0,#ffffff
218,8007,-0.04791598161073351,#a1d99b
219,8009,0.22263115834500805,#41ab5d
220,8011,0.0,#ffffff
221,8013,-0.028362688501237465,#a1d99b
222,8014,0.03585127548281156,#74c476
223,8015,0.04136309339003627,#74c476
224,8017,0.015806819077804294,#74c476
225,8019,-0.02132870655172628,#a1d99b
226,8021,0.01405525725184663,#74c476
